timestamp,pressure,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
24:54.9,1150.3,-0.0998,-0.0141,0.9475,0,0,0
24:55.5,1137.2,-0.0476,-0.0297,0.968,0,0,0
24:55.5,1137.2,-0.0476,-0.0297,0.968,0,0,0
24:55.8,1137.2,-0.0632,-0.0478,0.9516,0,0,0
24:55.8,1137.2,-0.0632,-0.0478,0.9516,0,0,0
24:56.1,1163.4,-0.0944,-0.0351,0.9619,0,0,0
24:56.1,1163.4,-0.0944,-0.0351,0.9619,0,0,0
24:56.4,1163.4,-0.0649,-0.0402,0.9663,0,0,0
24:56.4,1163.4,-0.0649,-0.0402,0.9663,0,0,0
24:56.4,1163.4,-0.069,-0.0297,0.9624,0,0,0
24:56.4,1163.4,-0.069,-0.0297,0.9624,0,0,0
24:56.7,1176.5,-0.0422,-0.0329,0.966,0,0,0
24:56.7,1176.5,-0.0422,-0.0329,0.966,0,0,0
24:57.0,1189.6,-0.0844,-0.0524,0.9692,0,0,0
24:57.0,1189.6,-0.0844,-0.0524,0.9692,0,0,0
24:57.3,1137.2,-0.0549,-0.0344,0.9731,0,0,0
24:57.3,1137.2,-0.0549,-0.0344,0.9731,0,0,0
24:57.9,1150.3,-0.0668,-0.0539,0.9777,0,0,0
24:57.9,1150.3,-0.0668,-0.0539,0.9777,0,0,0
24:58.2,1176.5,-0.0798,-0.0463,0.9694,0,0,0
24:58.2,1176.5,-0.0798,-0.0463,0.9694,0,0,0
24:58.5,1163.4,-0.0825,-0.0441,0.9731,0,0,0
24:58.5,1163.4,-0.0825,-0.0441,0.9731,0,0,0
24:58.8,1163.4,-0.0895,-0.0434,0.9768,0,0,0
24:58.8,1163.4,-0.0895,-0.0434,0.9768,0,0,0
24:59.1,1150.3,-0.0986,-0.0544,0.968,0,0,0
24:59.1,1150.3,-0.0986,-0.0544,0.968,0,0,0
24:59.4,1163.4,-0.1254,-0.0485,0.9614,0,0,0
24:59.4,1163.4,-0.1254,-0.0485,0.9614,0,0,0
24:59.7,1163.4,-0.08,-0.0473,0.9575,0,0,0
24:59.7,1163.4,-0.08,-0.0473,0.9575,0,0,0
25:00.2,1163.4,-0.0576,-0.0573,0.976,0,0,0
25:00.2,1163.4,-0.0576,-0.0573,0.976,0,0,0
25:00.3,1163.4,-0.0576,-0.0573,0.976,0,0,0
25:00.3,1163.4,-0.0576,-0.0573,0.976,0,0,0
25:00.6,1137.2,-0.0834,-0.0937,0.987,0,0,0
25:00.6,1137.2,-0.0834,-0.0937,0.987,0,0,0
25:00.9,1176.5,-0.2753,-0.1452,0.9697,0,0,0
25:00.9,1176.5,-0.2753,-0.1452,0.9697,0,0,0
25:01.2,1215.8,-0.1997,0.1213,0.9011,0,0,0
25:01.2,1215.8,-0.1997,0.1213,0.9011,0,0,0
25:01.5,1150.3,0.1435,-0.0971,0.8225,0,0,0
25:01.5,1150.3,0.1435,-0.0971,0.8225,0,0,0
25:01.8,1176.5,-0.2324,0.1416,1.0297,0,0,0
25:01.8,1176.5,-0.2324,0.1416,1.0297,0,0,0
25:02.1,1150.3,0.155,0.184,1.1198,0,0,0
25:02.1,1150.3,0.155,0.184,1.1198,0,0,0
25:02.4,1163.4,0.1535,-0.0087,1.0327,0,0,0
25:02.4,1163.4,0.1535,-0.0087,1.0327,0,0,0
25:02.7,1150.3,-0.1293,0.0004,1.0122,0,0,0
25:02.7,1150.3,-0.1293,0.0004,1.0122,0,0,0
25:03.0,1150.3,0.1567,-0.176,0.927,0,0,0
25:03.0,1150.3,0.1567,-0.176,0.927,0,0,0
25:03.6,1163.4,-0.0478,-0.0371,0.9091,0,0,0
25:03.6,1163.4,-0.0478,-0.0371,0.9091,0,0,0
25:03.9,1150.3,0.0095,-0.0598,0.9648,0,0,0
25:03.9,1150.3,0.0095,-0.0598,0.9648,0,0,0
25:04.2,1189.6,-0.2185,-0.0014,0.861,0,0,0
25:04.2,1189.6,-0.2185,-0.0014,0.861,0,0,0
25:04.5,1176.5,-0.1589,0.0539,0.9155,0,0,0
25:04.5,1176.5,-0.1589,0.0539,0.9155,0,0,0
25:05.1,1176.5,-0.1345,-0.027,1.0332,0,0,0
25:05.1,1176.5,-0.1345,-0.027,1.0332,0,0,0
25:05.7,1176.5,0.1545,0.0012,0.9619,0,0,0
25:05.7,1176.5,0.1545,0.0012,0.9619,0,0,0
25:06.0,1176.5,-0.0676,0.0727,0.9191,0,0,0
25:06.0,1176.5,-0.0676,0.0727,0.9191,0,0,0
25:06.3,1137.2,-0.091,-0.1801,0.9291,0,0,0
25:06.3,1137.2,-0.091,-0.1801,0.9291,0,0,0
25:06.6,1202.7,-0.1728,-0.0239,0.9145,0,0,0
25:06.6,1202.7,-0.1728,-0.0239,0.9145,0,0,0
25:06.9,1137.2,-0.2448,0.0051,0.9228,0,0,0
25:06.9,1137.2,-0.2448,0.0051,0.9228,0,0,0
25:07.5,1176.5,-0.027,-0.0532,0.9257,0,0,0
25:07.5,1176.5,-0.027,-0.0532,0.9257,0,0,0
25:07.8,1137.2,-0.0156,-0.0354,0.9206,0,0,0
25:07.8,1137.2,-0.0156,-0.0354,0.9206,0,0,0
25:08.4,1163.4,0.1374,-0.0754,0.9714,0,0,0
25:08.4,1163.4,0.1374,-0.0754,0.9714,0,0,0
25:08.7,1150.3,0.1347,-0.0256,1.0095,0,0,0
25:08.7,1150.3,0.1347,-0.0256,1.0095,0,0,0
25:09.0,1150.3,0.0458,-0.0249,1.017,0,0,0
25:09.0,1150.3,0.0458,-0.0249,1.017,0,0,0
25:09.3,1189.6,0.0363,-0.0361,1.0034,0,0,0
25:09.3,1189.6,0.0363,-0.0361,1.0034,0,0,0
25:09.6,1163.4,-0.0585,-0.0061,1.009,0,0,0
25:09.6,1163.4,-0.0585,-0.0061,1.009,0,0,0
25:09.9,1163.4,-0.1164,-0.0864,1.0603,0,0,0
25:09.9,1163.4,-0.1164,-0.0864,1.0603,0,0,0
25:10.2,1137.2,0.0764,-0.038,1.0246,0,0,0
25:10.2,1137.2,0.0764,-0.038,1.0246,0,0,0
25:10.5,1176.5,0.2058,-0.0466,0.9663,0,0,0
25:10.5,1176.5,0.2058,-0.0466,0.9663,0,0,0
25:11.7,1137.2,-0.0541,0.0458,0.9506,0,0,0
25:11.7,1124,-0.0817,-0.0395,0.9177,0,0,0
25:11.7,1124,-0.0817,-0.0395,0.9177,0,0,0
25:12.3,1176.5,-0.135,-0.0759,0.9047,0,0,0
25:12.3,1176.5,-0.135,-0.0759,0.9047,0,0,0
25:12.6,1176.5,-0.059,-0.0742,0.9511,0,0,0
25:12.6,1176.5,-0.059,-0.0742,0.9511,0,0,0
25:13.2,1163.4,-0.103,0.0576,0.9519,0,0,0
25:13.2,1163.4,-0.103,0.0576,0.9519,0,0,0
25:13.5,1150.3,-0.1079,0.0012,0.956,0,0,0
25:13.5,1150.3,-0.1079,0.0012,0.956,0,0,0
25:13.8,1176.5,-0.1035,0.008,0.9377,0,0,0
25:13.8,1176.5,-0.1035,0.008,0.9377,0,0,0
25:14.1,1124,-0.0964,-0.0136,0.9792,0,0,0
25:14.1,1124,-0.0964,-0.0136,0.9792,0,0,0
25:14.4,1189.6,-0.143,-0.02,0.9443,0,0,0
25:14.4,1189.6,-0.143,-0.02,0.9443,0,0,0
25:15.0,1176.5,-0.1108,0.007,0.9548,0,0,0
25:15.0,1176.5,-0.1108,0.007,0.9548,0,0,0
25:15.3,1163.4,-0.0717,0.0158,0.967,0,0,0
25:15.3,1163.4,-0.0717,0.0158,0.967,0,0,0
25:15.8,1150.3,-0.1289,-0.0068,0.946,0,0,0
25:15.8,1150.3,-0.1289,-0.0068,0.946,0,0,0
25:16.1,1150.3,-0.1057,-0.0371,0.9685,0,0,0
25:16.1,1150.3,-0.1057,-0.0371,0.9685,0,0,0
25:16.4,1176.5,-0.0698,-0.0104,0.9689,0,0,0
25:16.4,1176.5,-0.0698,-0.0104,0.9689,0,0,0
25:16.7,1124,-0.1308,-0.0224,0.9599,0,0,0
25:16.7,1124,-0.1308,-0.0224,0.9599,0,0,0
25:17.0,1189.6,-0.1071,-0.0549,0.9816,0,0,0
25:17.0,1189.6,-0.1071,-0.0549,0.9816,0,0,0
25:17.3,1189.6,-0.0737,0.0173,0.9528,0,0,0
25:17.3,1189.6,-0.0737,0.0173,0.9528,0,0,0
25:17.3,1176.5,-0.09,-0.0151,0.9531,0,0,0
25:17.3,1176.5,-0.09,-0.0151,0.9531,0,0,0
25:17.9,1150.3,-0.1132,-0.0236,0.9733,0,0,0
25:17.9,1150.3,-0.1132,-0.0236,0.9733,0,0,0
25:17.9,1150.3,-0.103,-0.0253,0.9487,0,0,0
25:17.9,1150.3,-0.103,-0.0253,0.9487,0,0,0
25:18.2,1189.6,-0.0854,-0.0063,0.9653,0,0,0
25:18.2,1189.6,-0.0854,-0.0063,0.9653,0,0,0
25:18.2,1163.4,-0.1237,-0.0026,0.968,0,0,0
25:18.2,1163.4,-0.1237,-0.0026,0.968,0,0,0
25:18.5,1163.4,-0.1076,-0.0129,0.9487,0,0,0
25:18.5,1163.4,-0.1076,-0.0129,0.9487,0,0,0
25:18.5,1150.3,-0.0737,-0.0139,0.9558,0,0,0
25:18.5,1150.3,-0.0737,-0.0139,0.9558,0,0,0
25:19.1,1137.2,-0.0949,-0.0078,0.975,0,0,0
25:19.1,1176.5,-0.1105,-0.0222,0.9694,0,0,0
25:19.1,1176.5,-0.1105,-0.0222,0.9694,0,0,0
25:19.4,1189.6,-0.145,0,0.9538,0,0,0
25:19.4,1189.6,-0.145,0,0.9538,0,0,0
25:19.7,1150.3,-0.0749,0.0185,0.9589,0,0,0
25:19.7,1150.3,-0.0749,0.0185,0.9589,0,0,0
25:20.0,1150.3,-0.0354,0.0078,0.9841,0,0,0
25:20.0,1150.3,-0.0354,0.0078,0.9841,0,0,0
25:20.0,1110.9,-0.1054,-0.0043,0.9658,0,0,0
25:20.0,1110.9,-0.1054,-0.0043,0.9658,0,0,0
25:20.2,1137.2,-0.1535,-0.0339,0.9482,0,0,0
25:20.2,1137.2,-0.1535,-0.0339,0.9482,0,0,0
25:20.2,1150.3,-0.0986,-0.0334,0.9731,0,0,0
25:20.2,1150.3,-0.0986,-0.0334,0.9731,0,0,0
25:20.4,1163.4,-0.1079,-0.0131,0.9592,0,0,0
25:20.4,1163.4,-0.1079,-0.0131,0.9592,0,0,0
25:20.7,1137.2,-0.1166,0.0092,0.9523,0,0,0
25:20.7,1137.2,-0.1166,0.0092,0.9523,0,0,0
25:21.0,1137.2,-0.1325,-0.01,0.9494,0,0,0
25:21.0,1137.2,-0.1325,-0.01,0.9494,0,0,0
25:21.3,1163.4,-0.0512,0.0046,0.9665,0,0,0
25:21.3,1163.4,-0.0512,0.0046,0.9665,0,0,0
25:21.6,1163.4,-0.134,-0.0578,0.9587,0,0,0
25:21.6,1163.4,-0.134,-0.0578,0.9587,0,0,0
25:21.9,1137.2,-0.0908,-0.0246,0.976,0,0,0
25:21.9,1137.2,-0.0908,-0.0246,0.976,0,0,0
25:22.2,1202.7,-0.0649,0.0087,0.9689,0,0,0
25:22.2,1202.7,-0.0649,0.0087,0.9689,0,0,0
25:22.8,1137.2,-0.1079,-0.0373,0.9589,0,0,0
25:22.8,1137.2,-0.1079,-0.0373,0.9589,0,0,0
25:23.1,1150.3,-0.0917,-0.0239,0.9853,0,0,0
25:23.1,1150.3,-0.0917,-0.0239,0.9853,0,0,0
25:23.4,1124,-0.1145,-0.0134,0.9619,0,0,0
25:23.4,1124,-0.1145,-0.0134,0.9619,0,0,0
25:23.7,1137.2,-0.0893,-0.0234,0.9514,0,0,0
25:23.7,1137.2,-0.0893,-0.0234,0.9514,0,0,0
25:24.9,1176.5,-0.132,-0.0336,0.9558,0,0,0
25:24.9,1176.5,-0.132,-0.0336,0.9558,0,0,0
25:25.2,1137.2,-0.1145,-0.0524,0.9645,0,0,0
25:25.2,1137.2,-0.1145,-0.0524,0.9645,0,0,0
25:26.1,1176.5,-0.1142,-0.0429,0.9455,0,0,0
25:26.1,1163.4,-0.0712,-0.0683,0.9663,0,0,0
25:26.1,1163.4,-0.0712,-0.0683,0.9663,0,0,0
25:26.4,1150.3,-0.0895,-0.0212,0.9499,0,0,0
25:26.4,1150.3,-0.0895,-0.0212,0.9499,0,0,0
25:26.4,1150.3,-0.0895,-0.0212,0.9499,0,0,0
25:26.4,1150.3,-0.0895,-0.0212,0.9499,0,0,0
25:26.4,1150.3,-0.1015,-0.0444,0.9558,0,0,0
25:26.4,1150.3,-0.1015,-0.0444,0.9558,0,0,0
25:27.0,1176.5,-0.1342,-0.048,0.9543,0,0,0
25:27.0,1176.5,-0.1342,-0.048,0.9543,0,0,0
25:27.3,1137.2,-0.1169,-0.0466,0.9692,0,0,0
25:27.3,1137.2,-0.1169,-0.0466,0.9692,0,0,0
25:28.2,1163.4,-0.1052,-0.052,0.9667,0,0,0
25:28.2,1163.4,-0.1052,-0.052,0.9667,0,0,0
25:31.2,1176.5,-0.1145,-0.0361,0.9565,0,0,0
25:31.2,1176.5,-0.1145,-0.0361,0.9565,0,0,0
25:32.6,1110.9,-0.132,-0.0153,0.9731,0,0,0
25:32.6,1110.9,-0.132,-0.0153,0.9731,0,0,0
25:32.7,1110.9,-0.1706,-0.0405,0.9309,0,0,0
25:32.7,1110.9,-0.1706,-0.0405,0.9309,0,0,0
25:32.7,1110.9,-0.1706,-0.0405,0.9309,0,0,0
