00:42.6 11241.5 0.1060 0.0210 0.9673 -2.2 1.3 0.2
00:42.7 11372.5 0.1040 0.0247 0.9634 -2.2 1.5 0.3
00:42.8 11503.6 0.1042 0.0166 0.9763 -2.3 1.3 0.2
00:42.9 11503.6 0.1018 0.0229 0.9670 -2.1 1.4 0.2
00:43.0 11110.4 0.1050 0.0212 0.9595 -2.4 1.1 0.1
00:43.1 11372.5 0.1016 0.0239 0.9624 -2.5 1.1 0.1
00:43.2 11634.7 0.1064 0.0239 0.9692 -2.4 1.4 0.3
00:43.3 11372.5 0.1096 0.0215 0.9641 -2.2 1.2 0.2
00:43.4 11372.5 0.1038 0.0227 0.9690 -2.1 1.5 0.2
00:43.5 11503.6 0.1072 0.0283 0.9697 -2.0 1.3 0.2
00:43.6 11503.6 0.1069 0.0261 0.9673 -2.1 1.5 0.3
00:43.7 11503.6 0.1062 0.0193 0.9634 -2.3 1.6 0.2
00:43.8 11634.7 0.1008 0.0205 0.9712 -2.1 1.4 0.4
00:43.9 11765.8 0.1077 0.0256 0.9670 -2.4 1.3 0.2
00:44.0 11634.7 0.1060 0.0212 0.9734 -2.4 1.3 0.2
00:44.1 11372.5 0.1030 0.0220 0.9746 -2.1 1.5 0.2
00:44.2 11372.5 0.1089 0.0229 0.9614 -2.4 1.4 0.4
00:44.3 11372.5 0.1060 0.0254 0.9712 -2.3 1.4 0.3
00:44.4 11634.7 0.1045 0.0215 0.9646 -2.3 1.2 0.2
00:44.5 11765.8 0.1050 0.0215 0.9702 -2.5 1.1 0.3
00:44.6 11765.8 0.1018 0.0242 0.9668 -2.5 0.9 0.1
00:44.7 11765.8 0.1025 0.0198 0.9663 -2.5 1.2 0.3
00:44.8 11765.8 0.0999 0.0193 0.9722 -2.2 1.3 0.3
00:44.9 11765.8 0.1069 0.0217 0.9724 -2.3 1.8 0.4
00:45.0 11634.7 0.1099 0.0200 0.9712 -2.0 1.5 0.3
00:45.1 11896.8 0.1045 0.0173 0.9727 -2.1 1.6 0.1
00:45.2 11896.8 0.1047 0.0249 0.9797 -2.1 1.5 0.2
00:45.3 11896.8 0.1099 0.0220 0.9604 -2.3 1.4 0.2
00:45.4 12027.9 0.1050 0.0198 0.9551 -2.3 1.4 0.4
00:45.5 11765.8 0.1099 0.0220 0.9636 -2.5 1.4 0.1
00:45.6 11634.7 0.1082 0.0291 0.9646 -2.5 1.4 0.3
00:45.7 11634.7 0.1038 0.0242 0.9727 -2.3 1.4 0.3
00:45.8 11503.6 0.0928 0.0212 0.9734 -2.3 1.7 0.3
00:45.9 11765.8 0.1011 0.0234 0.9600 -2.2 1.1 0.2
00:46.0 11765.8 0.1040 0.0249 0.9727 -2.2 1.4 0.2
00:46.1 11634.7 0.1011 0.0239 0.9680 -2.2 1.3 0.2
00:46.2 11372.5 0.1050 0.0220 0.9675 -2.3 1.2 0.3
00:46.3 11503.6 0.1062 0.0178 0.9587 -2.2 1.4 0.3
00:46.4 11765.8 0.1069 0.0166 0.9702 -2.4 1.4 0.3
00:46.5 11634.7 0.1047 0.0220 0.9629 -2.1 1.5 0.1
00:46.6 11372.5 0.1082 0.0266 0.9700 -2.2 1.4 0.3
00:46.7 11372.5 0.1062 0.0244 0.9631 -2.0 1.5 0.2
00:46.8 11634.7 0.1106 0.0178 0.9587 -2.2 1.6 0.2
00:46.9 11765.8 0.1016 0.0244 0.9646 -2.2 1.1 0.2
00:47.0 11503.6 0.1069 0.0256 0.9678 -2.4 1.1 0.3
00:47.1 11634.7 0.1069 0.0168 0.9700 -2.5 1.1 0.1
00:47.2 11634.7 0.1072 0.0210 0.9692 -2.4 1.4 0.3
00:47.3 11634.7 0.1045 0.0186 0.9590 -2.2 1.5 0.2
00:47.4 11634.7 0.1069 0.0227 0.9666 -1.8 1.5 0.3
00:47.5 11634.7 0.1033 0.0281 0.9680 -2.2 1.5 0.2
00:47.6 11110.4 0.1003 0.0190 0.9685 -2.0 1.1 0.2
00:47.7 11241.5 0.1069 0.0178 0.9705 -2.3 1.4 0.3
00:47.8 11765.8 0.1113 0.0227 0.9602 -2.2 1.6 0.3
