timestamp,packet_id,pressure,accel_x,accel_y,accel_z
2025-07-17 14:09:21.893264,14,-1734.7,0.0895,-0.0224,1.0754
2025-07-17 14:09:22.393202,20,-1734.7,0.0925,-0.0178,1.0883
2025-07-17 14:09:22.493202,20,-1603.6,0.0861,-0.0187,1.0832
2025-07-17 14:09:22.567007,22,-1341.5,0.0935,-0.0195,1.0849
2025-07-17 14:09:22.667007,22,-1472.6,0.0881,-0.0195,1.0886
2025-07-17 14:09:23.011925,23,-1734.7,0.0961,-0.0175,1.0847
2025-07-17 14:09:22.923264,25,-1734.7,0.101,-0.0205,1.0817
2025-07-17 14:09:23.023264,25,-1472.6,0.0905,-0.0144,1.0871
2025-07-17 14:09:23.236702,28,-1472.6,0.0939,-0.0122,1.0788
2025-07-17 14:09:23.336702,28,-1865.8,0.0937,-0.0185,1.0837
2025-07-17 14:09:23.360243,29,-1865.8,0.0944,-0.0192,1.0822
2025-07-17 14:09:23.893544,35,-1734.7,0.0913,-0.0205,1.0783
2025-07-17 14:09:23.993544,35,-1865.8,0.0891,-0.0166,1.0876
2025-07-17 14:09:25.032712,47,-1734.7,0.0898,-0.0161,1.0856
2025-07-17 14:09:25.132712,47,-1734.7,0.0876,-0.0156,1.0886
2025-07-17 14:09:25.380403,50,-1734.7,0.0886,-0.0192,1.0878
2025-07-17 14:09:25.480403,50,-1865.8,0.1166,-0.019,1.0771
2025-07-17 14:09:25.697741,52,-1865.8,0.0927,-0.0122,1.0832
2025-07-17 14:09:25.797741,52,-1734.7,0.0927,-0.0163,1.0861
2025-07-17 14:09:25.798383,53,-1734.7,0.0905,-0.0173,1.0842
2025-07-17 14:09:26.301720,59,-1865.8,0.0871,-0.0153,1.0815
2025-07-17 14:09:26.401720,59,-1734.7,0.0856,-0.0166,1.083
2025-07-17 14:09:26.434000,60,-1210.4,0.0898,-0.0114,1.08
2025-07-17 14:09:27.493653,71,-1472.6,0.0866,-0.0168,1.0834
2025-07-17 14:09:27.593653,71,-1210.4,0.091,-0.0151,1.0859
2025-07-17 14:09:28.026523,76,-1734.7,0.0866,-0.019,1.0861
2025-07-17 14:09:28.126523,76,-1865.8,0.0886,-0.0129,1.0827
2025-07-17 14:09:29.802624,92,-2127.9,0.0881,-0.0141,1.0844
2025-07-17 14:09:29.902624,92,-2259.0,0.0903,-0.0117,1.0878
2025-07-17 14:09:30.204263,98,-1472.6,0.0871,-0.0185,1.0866
2025-07-17 14:09:30.304263,98,-1603.6,0.0893,-0.0129,1.0895
2025-07-17 14:09:30.460796,101,-1865.8,0.0866,-0.0139,1.0915
2025-07-17 14:09:30.560796,101,-1865.8,0.0878,-0.0161,1.0922
2025-07-17 14:09:30.768834,104,-1734.7,0.0861,-0.0192,1.09
2025-07-17 14:09:30.868834,104,-1603.6,0.0891,-0.0192,1.0815
2025-07-17 14:09:31.624178,112,-1996.8,0.0874,-0.0158,1.0861
2025-07-17 14:09:31.724178,112,-1734.7,0.0842,-0.0151,1.0866
2025-07-17 14:09:31.796843,113,-1603.6,0.0827,-0.0178,1.0849
2025-07-17 14:09:32.213621,118,-1472.6,0.0881,-0.0168,1.0839
2025-07-17 14:09:32.313621,118,-1734.7,0.0905,-0.0107,1.0881
2025-07-17 14:09:32.589058,122,-1472.6,0.09,-0.0166,1.09
2025-07-17 14:09:32.689058,122,-1996.8,0.0876,-0.0131,1.0917
2025-07-17 14:09:33.265400,129,-1865.8,0.0908,-0.0168,1.0842
2025-07-17 14:09:33.365400,129,-1603.6,0.0859,-0.0158,1.0895
2025-07-17 14:09:33.492297,131,-1734.7,0.0925,-0.0163,1.0866
2025-07-17 14:09:33.592297,131,-1996.8,0.0908,-0.0124,1.0878
2025-07-17 14:09:34.660417,142,-1734.7,0.0898,-0.0126,1.0886
2025-07-17 14:09:34.760417,142,-1996.8,0.0869,-0.0168,1.09
2025-07-17 14:09:35.527067,151,-1603.6,0.0871,-0.0187,1.0834
2025-07-17 14:09:35.627067,151,-1865.8,0.0917,-0.0168,1.0869
2025-07-17 14:09:35.660664,152,-2127.9,0.0878,-0.0158,1.0822
2025-07-17 14:09:35.819247,154,-1865.8,0.0888,-0.0178,1.0817
2025-07-17 14:09:35.919247,154,-1865.8,0.0881,-0.017,1.0869
2025-07-17 14:09:35.965178,155,-1865.8,0.0891,-0.0156,1.0874
2025-07-17 14:09:36.428005,160,-1472.6,0.0888,-0.0161,1.0815
2025-07-17 14:09:36.528005,160,-1734.7,0.0881,-0.0183,1.0852
2025-07-17 14:09:36.589589,161,-1865.8,0.0891,-0.0192,1.0847
2025-07-17 14:09:36.786832,164,-1865.8,0.0883,-0.0134,1.0964
2025-07-17 14:09:36.886832,164,-1996.8,0.0876,-0.018,1.0874
2025-07-17 14:09:37.327177,169,-1210.4,0.0881,-0.0124,1.0798
2025-07-17 14:09:37.427177,169,-1472.6,0.0886,-0.0134,1.083
2025-07-17 14:09:37.468935,170,-1472.6,0.0871,-0.0144,1.0795
2025-07-17 14:09:37.690729,173,-1996.8,0.0869,-0.0185,1.0854
2025-07-17 14:09:37.790729,173,-1603.6,0.0883,-0.0144,1.0842
2025-07-17 14:09:37.927197,175,-1341.5,0.0935,-0.0173,1.0927
2025-07-17 14:09:38.027197,175,-1603.6,0.0905,-0.0175,1.0827
2025-07-17 14:09:38.310666,176,-1603.6,0.0898,-0.0158,1.082
2025-07-17 14:09:38.517090,181,-1079.3,0.0895,-0.0119,1.0832
2025-07-17 14:09:38.617090,181,-1210.4,0.0854,-0.0173,1.082
2025-07-17 14:09:38.834157,185,-1472.6,0.0903,-0.0153,1.0832
2025-07-17 14:09:38.934157,185,-1734.7,0.0903,-0.0156,1.0832
2025-07-17 14:09:39.168671,188,-1472.6,0.091,-0.0136,1.0883
2025-07-17 14:09:39.268671,188,-1734.7,0.0834,-0.0134,1.0864
2025-07-17 14:09:39.432991,191,-1210.4,0.0883,-0.0141,1.0915
2025-07-17 14:09:39.532991,191,-1603.6,0.0861,-0.0122,1.0856
2025-07-17 14:09:39.663982,193,-1472.6,0.0861,-0.0148,1.0825
2025-07-17 14:09:39.763982,193,-1472.6,0.0881,-0.0161,1.0861
2025-07-17 14:09:39.917800,194,-1734.7,0.083,-0.0178,1.0781
2025-07-17 14:09:40.065083,197,-1734.7,0.0893,-0.0192,1.0871
2025-07-17 14:09:40.165083,197,-1734.7,0.0871,-0.0163,1.0822
2025-07-17 14:09:40.390071,200,-1865.8,0.0893,-0.0166,1.0844
2025-07-17 14:09:40.490071,200,-1603.6,0.0898,-0.0131,1.0825
2025-07-17 14:09:40.699336,203,-1472.6,0.0893,-0.0134,1.0834
2025-07-17 14:09:40.799336,203,-1472.6,0.0886,-0.0161,1.0859
2025-07-17 14:09:40.969773,206,-1734.7,0.0861,-0.0139,1.0876
2025-07-17 14:09:41.069773,206,-1603.6,0.0927,-0.019,1.0886
2025-07-17 14:09:41.263383,209,-1865.8,0.0903,-0.0163,1.081
2025-07-17 14:09:41.363383,209,-1734.7,0.0905,-0.0126,1.0803
2025-07-17 14:09:41.862101,215,-1734.7,0.0927,-0.0146,1.0844
2025-07-17 14:09:41.962101,215,-1472.6,0.0878,-0.018,1.0876
2025-07-17 14:09:42.163226,218,-1865.8,0.0893,-0.0151,1.0891
2025-07-17 14:09:42.263226,218,-1603.6,0.091,-0.0205,1.0883
2025-07-17 14:09:42.487556,221,-1210.4,0.0893,-0.0141,1.0844
2025-07-17 14:09:42.587556,221,-1341.5,0.0834,-0.0161,1.0905
2025-07-17 14:09:42.810710,224,-1603.6,0.0888,-0.0185,1.0854
2025-07-17 14:09:42.910710,224,-1603.6,0.0903,-0.0136,1.0817
2025-07-17 14:09:43.091025,227,-1341.5,0.0908,-0.0144,1.0898
2025-07-17 14:09:43.191025,227,-1210.4,0.0878,-0.0161,1.0871
2025-07-17 14:09:43.666071,233,-1734.7,0.0866,-0.0139,1.0844
2025-07-17 14:09:43.766071,233,-1865.8,0.0864,-0.0131,1.0825
2025-07-17 14:09:43.967509,236,-1865.8,0.0856,-0.0168,1.0869
2025-07-17 14:09:44.067509,236,-1734.7,0.0964,-0.0141,1.0842
2025-07-17 14:09:44.291037,239,-1341.5,0.0881,-0.0131,1.0832
2025-07-17 14:09:44.391037,239,-1472.6,0.0915,-0.0158,1.0864
2025-07-17 14:09:44.895255,245,-1734.7,0.0861,-0.0183,1.0861
2025-07-17 14:09:44.995255,245,-1341.5,0.0876,-0.0114,1.0827
2025-07-17 14:09:45.032649,246,-1341.5,0.0979,-0.0205,1.0625
2025-07-17 14:09:45.167531,248,-1472.6,0.083,-0.0156,1.0883
2025-07-17 14:09:45.267531,248,-1603.6,0.071,-0.0197,1.0815
2025-07-17 14:09:45.470474,251,-1472.6,0.0856,-0.0236,1.0861
2025-07-17 14:09:45.570474,251,-1603.6,0.0954,-0.0144,1.091
2025-07-17 14:09:46.120039,1,-1734.7,0.091,-0.0139,1.0898
2025-07-17 14:09:46.220039,1,-1603.6,0.092,-0.0146,1.0839
2025-07-17 14:09:46.363158,4,-1603.6,0.1025,-0.0056,1.0883
2025-07-17 14:09:46.463158,4,-1734.7,0.0878,-0.017,1.0815
2025-07-17 14:09:46.664526,7,-1472.6,0.0866,-0.0102,1.0949
2025-07-17 14:09:46.764526,7,-1603.6,0.0925,-0.0178,1.0866
2025-07-17 14:09:47.249689,10,-1210.4,0.0927,-0.0122,1.0866
2025-07-17 14:09:47.349689,10,-1210.4,0.0915,-0.0114,1.0839
2025-07-17 14:09:47.590831,16,-1734.7,0.0891,-0.0168,1.0895
2025-07-17 14:09:47.690831,16,-1603.6,0.0864,-0.01,1.0771
2025-07-17 14:09:47.792138,17,-1734.7,0.0883,-0.0195,1.0937
2025-07-17 14:09:48.149033,19,-2127.9,0.0864,-0.0131,1.0878
2025-07-17 14:09:48.249033,19,-1865.8,0.091,-0.0131,1.0844
2025-07-17 14:09:48.465170,25,-1603.6,0.0856,-0.0131,1.0817
2025-07-17 14:09:48.565170,25,-1734.7,0.0917,-0.009,1.0881
2025-07-17 14:09:49.093391,31,-1865.8,0.091,-0.0114,1.0942
2025-07-17 14:09:49.193391,31,-1603.6,0.0861,-0.0163,1.082
2025-07-17 14:09:49.691408,37,-1472.6,0.0869,-0.0124,1.0861
2025-07-17 14:09:49.791408,37,-1472.6,0.0925,-0.009,1.0922
2025-07-17 14:09:50.266697,43,-1472.6,0.0915,-0.0148,1.0866
2025-07-17 14:09:50.366697,43,-1341.5,0.0847,-0.0156,1.0812
2025-07-17 14:09:50.561099,46,-1341.5,0.0891,-0.017,1.0864
2025-07-17 14:09:50.661099,46,-1210.4,0.091,-0.0134,1.0781
2025-07-17 14:09:50.925116,49,-1472.6,0.0908,-0.0117,1.0935
2025-07-17 14:09:51.025116,49,-1472.6,0.093,-0.0134,1.083
2025-07-17 14:09:51.168474,52,-1079.3,0.0905,-0.0131,1.0844
2025-07-17 14:09:51.268474,52,-1603.6,0.0895,-0.0141,1.0842
2025-07-17 14:09:51.466111,55,-1472.6,0.0895,-0.0119,1.081
2025-07-17 14:09:51.566111,55,-1210.4,0.0922,-0.0124,1.0866
2025-07-17 14:09:51.759594,58,-1996.8,0.0888,-0.0104,1.08
2025-07-17 14:09:51.859594,58,-1472.6,0.0925,-0.0158,1.0812
2025-07-17 14:09:52.066333,61,-1472.6,0.0913,-0.0095,1.0876
2025-07-17 14:09:52.166333,61,-1603.6,0.0874,-0.0166,1.0898
2025-07-17 14:09:52.432817,65,-1472.6,0.0874,-0.0148,1.0844
2025-07-17 14:09:52.532817,65,-1472.6,0.0913,-0.0146,1.0864
2025-07-17 14:09:54.167119,82,-1734.7,0.0979,-0.0122,1.0871
2025-07-17 14:09:54.267119,82,-1734.7,0.091,-0.0158,1.0793
2025-07-17 14:09:54.794616,88,-1210.4,0.0895,-0.0107,1.0859
2025-07-17 14:09:54.894616,88,-1341.5,0.0898,-0.0129,1.0925
2025-07-17 14:09:55.337302,92,-1472.6,0.0915,-0.0124,1.0817
2025-07-17 14:09:55.437302,92,-1734.7,0.0908,-0.0119,1.0817
2025-07-17 14:09:55.386893,94,-1603.6,0.0913,-0.0078,1.0817
2025-07-17 14:09:55.486893,94,-1341.5,0.0888,-0.0119,1.082
2025-07-17 14:09:55.663976,97,-1603.6,0.09,-0.0124,1.082
2025-07-17 14:09:55.763976,97,-1865.8,0.0905,-0.0153,1.0866
2025-07-17 14:09:56.865630,109,-1210.4,0.0903,-0.0148,1.0844
2025-07-17 14:09:56.965630,109,-1734.7,0.0937,-0.0168,1.0842
2025-07-17 14:09:57.263127,113,-1472.6,0.0891,-0.0117,1.0874
2025-07-17 14:09:57.363127,113,-1341.5,0.0891,-0.0134,1.0832
2025-07-17 14:09:57.751348,116,-1603.6,0.0866,-0.0146,1.0866
2025-07-17 14:09:57.851348,116,-1734.7,0.0859,-0.0161,1.0825
2025-07-17 14:09:58.068413,121,-1603.6,0.0881,-0.0126,1.0854
2025-07-17 14:09:58.168413,121,-1472.6,0.0886,-0.0078,1.083
2025-07-17 14:09:58.367251,124,-1341.5,0.0864,-0.0156,1.0803
2025-07-17 14:09:58.467251,124,-1472.6,0.0913,-0.0119,1.0847
2025-07-17 14:09:58.659563,127,-1734.7,0.091,-0.0153,1.0771
2025-07-17 14:09:58.759563,127,-1472.6,0.0883,-0.0126,1.0891
2025-07-17 14:09:58.996880,130,-1472.6,0.0876,-0.0117,1.0878
2025-07-17 14:09:59.096880,130,-1341.5,0.0876,-0.0122,1.0844
2025-07-17 14:09:59.593245,136,-1341.5,0.0922,-0.0153,1.0876
2025-07-17 14:09:59.693245,136,-1472.6,0.0874,-0.0122,1.0866
2025-07-17 14:09:59.832165,139,-1734.7,0.093,-0.0139,1.0803
2025-07-17 14:09:59.932165,139,-1603.6,0.0883,-0.0195,1.0822
2025-07-17 14:10:01.064699,151,-1865.8,0.0881,-0.0148,1.0827
2025-07-17 14:10:01.164699,151,-1865.8,0.0939,-0.0124,1.0891
2025-07-17 14:10:01.362746,154,-1603.6,0.0888,-0.0119,1.0788
2025-07-17 14:10:01.462746,154,-1734.7,0.0886,-0.0131,1.0903
2025-07-17 14:10:02.024489,160,-1603.6,0.0917,-0.0104,1.0832
2025-07-17 14:10:02.124489,160,-1472.6,0.0864,-0.0112,1.0871
2025-07-17 14:10:02.893658,169,-1603.6,0.0888,-0.0141,1.0898
2025-07-17 14:10:02.993658,169,-1734.7,0.0886,-0.0124,1.0822
2025-07-17 14:10:03.418701,174,-1603.6,0.092,-0.0114,1.0957
2025-07-17 14:10:03.518701,174,-1734.7,0.0905,-0.0173,1.0852
2025-07-17 14:10:03.560096,175,-1341.5,0.0932,-0.0136,1.0849
2025-07-17 14:10:03.718617,177,-1472.6,0.0908,-0.0141,1.0905
2025-07-17 14:10:03.818617,177,-1996.8,0.0874,-0.0107,1.0883
2025-07-17 14:10:03.863722,178,-1865.8,0.0883,-0.0136,1.0866
2025-07-17 14:10:04.016772,180,-1865.8,0.0903,-0.0151,1.0825
2025-07-17 14:10:04.116772,180,-1734.7,0.092,-0.0114,1.0808
2025-07-17 14:10:04.194530,181,-1865.8,0.0898,-0.0104,1.0856
2025-07-17 14:10:04.332579,184,-1734.7,0.0881,-0.0109,1.092
2025-07-17 14:10:04.432579,184,-1865.8,0.0881,-0.0158,1.0825
2025-07-17 14:10:05.220167,192,-1472.6,0.0903,-0.0146,1.0874
2025-07-17 14:10:05.320167,192,-1472.6,0.09,-0.0151,1.09
2025-07-17 14:10:05.529146,195,-1603.6,0.0888,-0.0119,1.0832
2025-07-17 14:10:05.629146,195,-1865.8,0.0905,-0.0131,1.0891
2025-07-17 14:10:05.633214,196,-1996.8,0.0871,-0.0126,1.0847
2025-07-17 14:10:05.992498,200,-1603.6,0.0908,-0.0131,1.0844
2025-07-17 14:10:06.092498,200,-1603.6,0.0895,-0.0136,1.0847
2025-07-17 14:10:06.213799,201,-1341.5,0.0891,-0.0151,1.0893
2025-07-17 14:10:06.264703,202,-1603.6,0.0888,-0.0144,1.0878
2025-07-17 14:10:06.433400,205,-1865.8,0.0925,-0.0163,1.0852
2025-07-17 14:10:06.533400,205,-1865.8,0.0888,-0.0153,1.0847
