id,timestamp,packet_id,pressure,accel_x,accel_y,accel_z
156_3,2025-07-19 01:05:18.034889,156,-948.3,0.2126,0.0908,1.1174
159_1,2025-07-19 01:05:18.135924,159,-686.1,0.1145,0.1081,1.1181
159_2,2025-07-19 01:05:18.235924,159,-555.1,0.069,0.1113,1.1372
159_3,2025-07-19 01:05:18.335924,159,-555.1,-0.1308,0.2316,1.0039
168_1,2025-07-19 01:05:19.036096,168,-161.8,-0.2878,0.2014,0.965
168_2,2025-07-19 01:05:19.136096,168,-292.9,-0.5124,0.229,0.9604
168_3,2025-07-19 01:05:19.236096,168,-555.1,-0.0676,0.1447,1.1489
171_1,2025-07-19 01:05:19.332023,171,-686.1,-0.3962,0.1621,1.1147
171_2,2025-07-19 01:05:19.432023,171,-424.0,-0.1489,0.0627,1.0532
171_3,2025-07-19 01:05:19.532023,171,-555.1,-0.2741,0.0627,1.1171
174_1,2025-07-19 01:05:19.930206,174,-686.1,-0.1166,0.0019,1.0617
174_2,2025-07-19 01:05:20.030206,174,-686.1,0.1027,0.0009,1.1162
174_3,2025-07-19 01:05:20.130206,174,-686.1,0.0451,-0.0185,1.1301
177_1,2025-07-19 01:05:20.235904,177,-424.0,0.0305,-0.03,1.0422
177_2,2025-07-19 01:05:20.335904,177,-292.9,0.111,-0.0285,1.0942
177_3,2025-07-19 01:05:20.435904,177,-161.8,0.1416,0.0563,1.09
180_1,2025-07-19 01:05:20.236470,180,-161.8,0.1555,0.0153,1.0776
180_2,2025-07-19 01:05:20.336470,180,-424.0,0.2072,0.0131,1.061
180_3,2025-07-19 01:05:20.436470,180,-424.0,0.2558,0.0588,1.0051
189_1,2025-07-19 01:05:21.130192,189,-555.1,0.3237,0.216,0.9924
189_2,2025-07-19 01:05:21.230192,189,-555.1,0.3708,0.2277,1.0097
189_3,2025-07-19 01:05:21.330192,189,-161.8,0.3552,0.2138,0.988
192_1,2025-07-19 01:05:21.431497,192,-30.8,0.3361,0.1508,1.009
192_2,2025-07-19 01:05:21.531497,192,-161.8,0.3613,0.1804,0.9929
192_3,2025-07-19 01:05:21.631497,192,-292.9,0.3454,0.1625,0.9873
195_1,2025-07-19 01:05:21.738491,195,-292.9,0.3415,0.1655,1.0434
195_2,2025-07-19 01:05:21.838491,195,-292.9,0.3557,0.1706,0.9887
195_3,2025-07-19 01:05:21.938491,195,-424.0,0.3879,0.1809,1.03
198_1,2025-07-19 01:05:22.064677,198,-424.0,0.383,0.1577,0.9741
