date_time timestamp pressure accel_x accel_y accel_z gyro_x gyro_y gyro_z
2025-05-21 11:04:50.572 16:30.5 3181.9 -0.5168 -0.0161 0.8101 -4.9 19.4 -0.2
2025-05-21 11:04:50.672 16:30.6 3181.9 -0.6116 0.0132 0.7593 -2.2 46.4 2.1
2025-05-21 11:04:50.772 16:30.7 3181.9 -0.6631 0.0127 0.7046 -7.7 36.4 -8.3
2025-05-21 11:04:50.872 16:30.8 3155.7 -0.7546 0.0281 0.6436 -4.4 49.5 -0.1
2025-05-21 11:04:50.972 16:30.9 3168.8 -0.7063 0.0105 0.4932 -14.4 64.6 5.7
2025-05-21 11:04:51.072 16:31.0 3181.9 -0.8401 0.0190 0.4197 -17.0 18.0 -4.2
2025-05-21 11:04:51.172 16:31.1 3168.8 -0.8804 -0.0195 0.4668 -4.2 28.9 -7.0
2025-05-21 11:04:51.272 16:31.2 3181.9 -0.8643 -0.0371 0.4297 -29.7 -23.0 -16.1
2025-05-21 11:04:51.372 16:31.3 3168.8 -0.7854 -0.1414 0.5947 -56.3 -95.2 -19.2
2025-05-21 11:04:51.472 16:31.4 3195.0 -0.6853 -0.1736 0.6243 -76.2 -136.8 -47.1
2025-05-21 11:04:51.571 16:31.5 3195.0 -0.3787 -0.3633 0.6802 -69.1 -114.2 -34.3
2025-05-21 11:04:51.673 16:31.6 3155.7 -0.2588 -0.5015 0.7795 -5.6 -77.3 -8.8
2025-05-21 11:04:51.772 16:31.7 3168.8 -0.1042 -0.4399 0.8599 -7.6 -95.7 -32.0
2025-05-21 11:04:51.872 16:31.8 3181.9 0.1089 -0.4905 0.8887 12.5 -57.1 -56.0
2025-05-21 11:04:51.972 16:31.9 3181.9 0.1711 -0.4058 0.8906 29.0 -70.3 -57.2
2025-05-21 11:04:52.073 16:32.0 3195.0 0.3948 -0.3665 0.7766 8.8 -38.2 -35.3
2025-05-21 11:04:52.173 16:32.1 3195.0 0.5049 -0.3594 0.6943 2.3 -22.2 -32.8
2025-05-21 11:04:52.272 16:32.2 3221.2 0.4961 -0.3188 0.7297 1.5 6.3 -20.3
2025-05-21 11:04:52.372 16:32.3 3208.1 0.4539 -0.2847 0.7781 -3.8 -6.2 -11.0
2025-05-21 11:04:52.472 16:32.4 3168.8 0.5923 -0.2942 0.7979 -30.0 -92.8 -4.4
2025-05-21 11:04:52.572 16:32.5 3168.8 0.7532 -0.3120 0.5454 -17.9 -111.5 -25.4
2025-05-21 11:04:52.673 16:32.6 3168.8 0.8672 -0.2458 0.5325 -1.7 -117.7 -46.7
2025-05-21 11:04:52.772 16:32.7 3181.9 0.8828 -0.1472 0.3005 58.7 -38.9 -82.2
2025-05-21 11:04:52.872 16:32.8 3168.8 1.0212 0.0107 0.2817 44.1 73.3 -90.4
2025-05-21 11:04:52.972 16:32.9 3168.8 0.7283 0.2458 0.7227 -22.0 134.7 -82.8
2025-05-21 11:04:53.072 16:33.0 3208.1 0.6162 0.2927 0.7454 3.9 80.2 -10.9
2025-05-21 11:04:53.173 16:33.1 3195.0 0.4124 0.3279 0.9177 7.3 103.8 -32.8
2025-05-21 11:04:53.273 16:33.2 3195.0 0.2073 0.3191 1.0215 -49.2 88.5 15.3
2025-05-21 11:04:53.372 16:33.3 3195.0 -0.0144 0.2278 0.9836 -34.9 81.4 7.3
2025-05-21 11:04:53.472 16:33.4 3195.0 -0.0410 0.0303 0.9358 -87.9 3.8 21.9
2025-05-21 11:04:53.573 16:33.5 3195.0 -0.0125 -0.0842 0.6936 -49.6 -32.9 7.6
2025-05-21 11:04:53.672 16:33.6 3168.8 -0.0603 -0.0728 0.9504 -20.5 -32.6 22.4
2025-05-21 11:04:53.771 16:33.7 3181.9 -0.0200 -0.0762 0.9519 33.4 0.0 1.0
2025-05-21 11:04:53.872 16:33.8 3181.9 0.0039 0.0366 0.9802 25.8 5.5 -3.0
2025-05-21 11:04:53.972 16:33.9 3195.0 -0.0286 0.0923 0.9583 31.6 -8.7 -5.8
2025-05-21 11:04:54.072 16:34.0 3195.0 0.2407 -0.2319 0.3650 -59.6 -18.0 -10.9
2025-05-21 11:04:54.172 16:34.1 3168.8 -0.0342 0.0134 1.0537 -29.2 2.9 5.3
2025-05-21 11:04:54.273 16:34.2 3181.9 -0.0112 0.0254 0.9844 -2.4 1.2 -4.8
2025-05-21 11:04:54.372 16:34.3 3208.1 -0.0032 -0.0247 0.9504 -1.8 1.3 20.6
2025-05-21 11:04:54.472 16:34.4 3181.9 0.0437 0.0383 0.9822 8.0 0.7 6.4
2025-05-21 11:04:54.573 16:34.5 3208.1 0.0073 -0.0151 0.9309 1.4 0.6 5.0
2025-05-21 11:04:54.672 16:34.6 3221.2 0.0247 0.0117 0.9832 -2.6 1.3 0.1
2025-05-21 11:04:54.772 16:34.7 3208.1 0.0242 0.0403 0.9568 -2.6 1.4 0.0
2025-05-21 11:04:54.872 16:34.8 3195.0 0.0210 0.0308 0.9731 -2.5 1.3 0.2
2025-05-21 11:04:54.972 16:34.9 3195.0 0.0237 0.0300 0.9768 -2.5 1.4 0.4
2025-05-21 11:04:55.072 16:35.0 3208.1 0.0215 0.0420 0.9724 -2.5 1.3 0.3
2025-05-21 11:04:55.172 16:35.1 3195.0 0.0200 0.0295 0.9766 -2.7 1.4 0.3
2025-05-21 11:04:55.272 16:35.2 3168.8 0.0237 0.0300 0.9749 -2.2 1.5 0.2
2025-05-21 11:04:55.372 16:35.3 3181.9 0.0151 0.0352 0.9851 -2.2 1.2 0.6
2025-05-21 11:04:55.472 16:35.4 3181.9 0.0203 0.0376 0.9634 -2.2 1.4 0.2
2025-05-21 11:04:55.572 16:35.5 3168.8 0.0203 0.0398 0.9692 -1.6 1.0 0.2
2025-05-21 11:04:55.672 16:35.6 3181.9 0.0178 0.0393 0.9788 -2.2 1.3 0.4
2025-05-21 11:04:55.772 16:35.7 3181.9 0.0212 0.0393 0.9719 -2.3 1.4 0.3
2025-05-21 11:04:55.872 16:35.8 3181.9 0.0215 0.0317 0.9768 -2.5 1.2 0.2
2025-05-21 11:04:55.972 16:35.9 3208.1 0.0217 0.0312 0.9719 -2.2 1.3 0.2
2025-05-21 11:04:56.072 16:36.0 3221.2 0.0234 0.0364 0.9719 -2.3 1.0 0.2
2025-05-21 11:04:56.172 16:36.1 3181.9 0.0217 0.0366 0.9739 -2.4 1.5 0.2
2025-05-21 11:04:56.272 16:36.2 3155.7 0.0198 0.0342 0.9722 -2.2 1.5 0.1
2025-05-21 11:04:56.373 16:36.3 3195.0 0.0190 0.0393 0.9648 -2.1 1.3 0.3
2025-05-21 11:04:56.472 16:36.4 3195.0 0.0222 0.0300 0.9702 -2.3 1.3 0.2
2025-05-21 11:04:56.572 16:36.5 3181.9 0.0205 0.0327 0.9753 -2.3 1.5 0.2
2025-05-21 11:04:56.672 16:36.6 3168.8 0.0188 0.0317 0.9741 -2.2 1.4 0.1
2025-05-21 11:04:56.772 16:36.7 3181.9 0.0200 0.0310 0.9744 -2.4 1.3 0.1
2025-05-21 11:04:56.872 16:36.8 3155.7 0.0205 0.0364 0.9741 -2.2 1.4 0.2
2025-05-21 11:04:56.972 16:36.9 3155.7 0.0227 0.0332 0.9675 -2.3 1.4 0.1
2025-05-21 11:04:57.073 16:37.0 3208.1 0.0210 0.0415 0.9792 -2.3 1.3 0.3
2025-05-21 11:04:57.172 16:37.1 3195.0 0.0208 0.0400 0.9705 -2.1 1.3 0.3
2025-05-21 11:04:57.273 16:37.2 3195.0 0.0244 0.0364 0.9680 -2.2 1.4 0.2
2025-05-21 11:04:57.372 16:37.3 3168.8 0.0249 0.0391 0.9819 -2.1 1.5 0.3
2025-05-21 11:04:57.472 16:37.4 3181.9 0.0190 0.0361 0.9788 -2.3 1.6 0.2
2025-05-21 11:04:57.573 16:37.5 3208.1 0.0205 0.0361 0.9788 -2.2 1.2 0.2
2025-05-21 11:04:57.672 16:37.6 3181.9 0.0212 0.0305 0.9670 -2.2 1.5 0.3
2025-05-21 11:04:57.772 16:37.7 3208.1 0.0195 0.0356 0.9634 -2.3 1.4 0.3
2025-05-21 11:04:57.872 16:37.8 3221.2 0.0208 0.0356 0.9656 -2.2 1.4 0.2
2025-05-21 11:04:57.972 16:37.9 3208.1 0.0149 0.0376 0.9700 -2.2 1.2 0.2
2025-05-21 11:04:58.072 16:38.0 3208.1 0.0195 0.0317 0.9692 -2.2 1.5 0.3
2025-05-21 11:04:58.172 16:38.1 3181.9 0.0205 0.0371 0.9836 -2.2 1.1 0.2
2025-05-21 11:04:58.272 16:38.2 3181.9 0.0132 0.0298 0.9714 -2.1 1.1 0.3
2025-05-21 11:04:58.372 16:38.3 3195.0 0.0195 0.0354 0.9744 -2.2 1.4 0.2
2025-05-21 11:04:58.472 16:38.4 3168.8 0.0164 0.0376 0.9734 -2.2 1.6 0.2
2025-05-21 11:04:58.572 16:38.5 3181.9 -0.0051 0.0442 0.9746 -5.3 1.9 14.9
2025-05-21 11:04:58.672 16:38.6 3208.1 0.0085 0.0090 0.9729 -1.1 1.3 0.1
2025-05-21 11:04:58.772 16:38.7 3195.0 0.0217 0.0344 0.9805 -2.1 1.5 0.0
2025-05-21 11:04:58.873 16:38.8 3168.8 0.0151 0.0271 0.9768 -2.1 1.0 0.3
2025-05-21 11:04:58.971 16:38.9 3168.8 0.0217 0.0249 0.9863 2.4 1.3 1.3
2025-05-21 11:04:59.072 16:39.0 3155.7 0.0103 0.0798 0.9719 7.5 3.4 2.1
2025-05-21 11:04:59.172 16:39.1 3155.7 -0.0120 0.0042 1.0747 41.9 21.1 -11.2
2025-05-21 11:04:59.272 16:39.2 3168.8 0.0190 0.0562 0.9004 -38.3 -5.5 -3.2
2025-05-21 11:04:59.372 16:39.3 3168.8 -0.0547 0.0146 0.9792 -30.2 4.3 -0.4
2025-05-21 11:04:59.472 16:39.4 3195.0 0.0681 -0.0410 1.0110 -17.7 5.0 16.3
2025-05-21 11:04:59.573 16:39.5 3208.1 -0.0698 -0.0598 0.9685 -13.6 17.0 3.1
2025-05-21 11:04:59.672 16:39.6 3181.9 -0.0388 -0.1321 0.9380 41.1 4.1 -17.2
2025-05-21 11:04:59.772 16:39.7 3155.7 -0.1648 -0.0986 0.9409 -34.9 19.8 24.9
